Name of Metre	Sl.no.
abhrakam 215	165
acyutam 128	95
akṣi 96	24
alolā 14-7	236
anaṅgalekhā 312	292
angaruciḥ 196	159
anuṣṭup 73	45
aparājitā 14-2	158
apavāha 377	326
āpīḍaḥ 378	324
asambādhā 14-1	207
aśokā 152	50
aśvalalitam 358	311
atirekhā 15-6(elā252)	168
atiśāyinī 289	238
aupacchandasikam_pū	99
aupacchandasikam_u	149
bandhūkam 118	80
bāṇini 276- 277	210
bhadrikā 94	46
bhaṅgiḥ 319	234
bhārākrāntā 291	246
bhoginī 258	197
bhramaramālā 57	23
bhramarapadam 309	213
bhramaravilasitam 138	107
bhujagaśiśusṛtā 91	36
bhujangaprayātam 170	189
bhujangavijṛmbhitam 376	339
bṛhatikā 89	42
budbudam 320	256
caladhṛtiḥ 268	127
calam 305	254
cancarikāvalī	229
candanaprakṛtiḥ 349	265
candralekhā 250	262
cāndralekhā 304(name modiफ़ied)	277
candramālā 307	273
candrarekhā 207	171
candravartma 161	85
candrikā	147
candrikā 205	145
candroddyotaḥ 247	225
capalagatiḥ 363	296
capalam 375	299
chāyā 325	304
citrā 249	278
citragatiḥ 114	67
citrakam 362	330
citralekhā 303	286
citram 279	241
citram 62	2
citramālā 339	328
citrapadā 75	35
dardurakaḥ 236	187
dhṛtiḥ 235	157
dīpārciṣ 357	331
dīpikaśikhā 343	255
dīptā 71	22
dodhakam 130	122
drutalaghupadagati 369	298
drutavilambitam 163	93
ekarūpam 146	148
gāandharvī 52	60
gauḥ 257	176
gaurī 213	133
guṇalayanī 84	21
halamukhī 90	31
haṃsagatiḥ 361	303
haṃsalayaḥ 373	300
hamsamālā 58	25
haṃsapadā 374	325
haṃsarutam 79	47
haranartakam	257
hāriṇī 292	268
hariṇī 293	243
hariṇīpadam 318	264
harivilasitam 63	1
hrīḥ 192	43
indravajrā 154	146
indravaṃśā 158	163
induvadanā 14-6	150
jaladharamālā 178	179
jaloddhatagatiḥ 169	97
jayā 226	233
jayānandam 273	245
jyotsnā 227	242
kalabhāṣiṇī 255	183
kalahaṃsā 160	89
kalikā 121	140
kalikā 59	9
kalyānam 173	235
kāmakrīḍā 262	293
kamaladalākṣī 150	73
kamalākṣī 218	113
kāmalatā 342	276
kāmāvatāraḥ 167	202
kāminī 106	58
kāmukī 266	320
kanakam 97	61
kāñcī	315
karimakarabhujā 223	196
kathāgatiḥ 346	313
kecalam 306(name modiफ़ied)	274
kecalam 306(name modiफ़ied)	275
kekiravam 191	141
ketanam 260	214
ketumatī_pū	51
ketumatī_u	79
koddumbhaḥ 216	224
kokilakam 298	212
kolaḥ 193	135
komalalatā 285	269
krauncapadā 372	323
krīḍā 317	266
kṣamā 200	151
kṣmā 203	175
kumāralalitā 54	5
kumudinī	130
kumudinī 123	69
kumudinī 185	153
kumudvatī 68	7
kuraṅgikā 311	267
kusumavicitrā 168	111
kusumitalatāvellitā 302	287
kuṭajam 212	142
kuṭakam 297	211
kuṭilam 241	206
laghumaṇiguṇanikaraḥ 104	10
lakṣmīḥ 214	162
lalanā 186	109
lalanā 186 (śovn as kāmadattā)	124
lalanā 283	172
lalitā 175	144
lalitagatiḥ 80	3
lalitalatā 366	271
lalitam 308	258
lalitapadam 272	169
lalitavikramaḥ 347	307
layaḥ 208	126
madalalitā 211	114
madalekhā	33
madalekhā 55	40
madanalalitā 275	240
mādhavīlatā 332	291
madhukarikā 65	12
madirā 355	295
madraka 353	308
mahāsragdharā 354	334
mahī 85	14
mahiṣī 274	216
makaralatā 102	71
makarandikā 324	284
mālatī 180	88
mālinī 246	226
māṇavakam 77	41
mandākrāntā 290	261
maṅgalamaṅganā 270	198
maṇibālā 301(name midiफ़ied)	249
maṇigaṇakiraṇaḥ 245	117
maṇikalpalatā 263	222
maṇimālā 190	180
maṇirāgaḥ 117	77
manjubhāṣiṇī 206	143
manojnā 70	13
manoramā 119	59
mattā 107	105
mattakrīḍā 348	302
mattākrīḍā 359	327
mattamayūrā 199	204
mattavilāsinī	290
mattebhavikrīḍitam 336	306
mauktikadāma 172	138
mauktikamālā	125
mayūragatiḥ	319
mayūrasāriṇī 111	96
meghamālā 367	337
meghāvalī 188	152
meghavisphūrjitā 323	305
meghavitānam	64
moṭanakam 147	106
mṛdaṅgaḥ 261	228
mṛgacapalā 122	74
muditā 69	18
mudrā 337	280
mugdhakam 329	288
mukhacapalā 149	70
Name of Metre	
nandakam 341	283
nārācam 78	44
navamālinī	166
navamāninī 179	94
nilayā 115	15
padmam 294	263
paṇava 110	103
pañcacāmaram 278	231
pankajavaktrā 315	239
panktikā 108	87
patitā 140	119
prabhā 182	83
prabhādraka(same as 353)	309
prabhadrakam 253	182
praharaṇakalikā 14-3	115
praharṣiṇī 197	185
pramadānanam	281
pramāṇī 82	29
pramitākṣarā 176	98
pramuditavadanā 181	82
priyamvadā 174	86
pṛthvī 287	237
puṣpadāma 327	312
puṣpavicitrā 189(ṃaṇimālā)	181
puṭaḥ 164	132
rājalakṣmīḥ 225	248
rājaramaṇīyaḥ 229	190
rathoddhatā 141	84
ratilīlā 326	250
ratimālā 86	11
rocakam 127	139
rohiṇī 295	270
ṛṣabhagajavilasitam 271	184
ṛṣabhaḥ 242	201
rucirā 100	56
rucirā 198	155
rukmavatī 113	104
sadratnamālā 340	314
śailaśikhī 281(name mdiफ़ied)	220
śālinī 135	186
samānikā 83	30
saṃbhrāntā 370	297
saṃgatam 265	219
śaṅkhaḥ 360	321
śarabhā 240	173
śarabhalalitam 239	174
śāradī 64	6
saralam 61	34
śaramālā 264	217
sāraṇī 153	81
śārdūlalalitam 310	259
śārdūlavikrīḍitam 321	317
śaśāṅkaracitam 344	285
śasikalā 243	116
śaśilekhā 103	38
saumyā 99	37
sāvitrī	32
siddhiḥ 350	272
śikhariṇī 286	244
simhaḥ 228	200
siṃhākrāntā 105	63
siṃhalekhā 81	49
simhavikrīḍitam	251
śiśuḥ 259	215
skhalitam 237	167
śobhā 338	318
somaḍakam 267	205
srag 244	121
sragdharā 345	333
sragviṇī 171	193
śreyomālā 201	227
strī	108
subhadrā 67	19
subhadram 368	332
subhadrikā 11-14	57
sudantam 217	161
śuddhavirāḍ 109	91
sudhākalaśaḥ 380	336
sukesaram 233	160
sumālatī 76	17
sumukhī 145	65
sundaram 256	203
surabhiḥ 316	208
suratalalitā 280	247
suvadanā 334	316
svāgatā 142	90
śyenī 144	137
tāmarasam 183	112
tanvīī 365	322
taralam 331	252
tāram	53
tāram 98	62
tarangaḥ 352	289
taruṇīvadanenduḥ 333	253
tatam 165	131
toṭakam 162	110
tūṇakam 254	230
tvaritagatiḥ 112	39
tvaritamatiḥ 219	68
udayam	28
udayam 92	26
uddhatā 56	20
uddhatam 124	120
ujjvalā 166	78
upacaitram 234	123
upacitram_pū	75
upacyutam 95	16
upamālinī 248	195
upāsthitā 120	76
upasthitā 133	128
upasthitam 134	129
upendravajrā 155	136
ūrjitam 330	279
urvaśī 194	192
uṣitā 116	52
uṣṇik 53	27
utsukam 93	48
utthāpanī 148	100
vaiśvadevī 177	223
vaitālīyam_pū	54
vaitālīyam_u	92
vaitikā	134
vaktram 88	102
valanā 232	194
vaṃśapatrapatitam 288	218
vamśastha 159	156
vanamañjarī 351	282
vañcitam 328	310
vāṇinī 299	232
varatanuḥ 356	294
varayuvatiḥ 282	221
vasantaḥ 224	191
vasantatilakā 231	199
vasudhārā 296	170
vātormī 136	178
vāyuvegā 322	260
vegavatī 379	301
vellitā 284	209
vibhā 72	55
vibhāvarī 184	154
vibhramagatiḥ 371	338
vidhuvaktrā 60	8
vidyunmālā	101
vidyunmālikā 209	164
vimalā 151	118
vimalā 66	4
vipulabhujā 125	72
vṛndārakam 364	335
vṛttā	66
vṛttam 335	329
yavamatī_pū	177
yavamatī_u	188